Month,SQ788 Tax,State & Local Sales Tax*
October 2018,0,2582
November 2018,1343,39150
December 2018,69426,129384
January 2019,305265,417098
February 2019,497328,638317
March 2019,870294,1121044
April 2019,1271773,1619446
May 2019,1632705,2088118
June 2019,2183957,2737220
July 2019,2501026,3157052
August 2019,2799145,3559832
September 2019,2968300,3809866
October 2019,3038426,3798457
November 2019,2774035,3779943
December 2019,3314014,3868508
January 2020,3271492,4348719
February 2020,3319612,4260068
March 2020,3422784,4392109
April 2020,4301520,5478393
May 2020,5168990,6505460
June 2020,5529722,7024424
July 2020,5237401,7027121
August 2020,5489699,6793064
September 2020,5336049,6679890
October 2020,5255089,6493791
November 2020,4816567,5932205
December 2020,5096962,6658527
January 2021,5223023,6772795
February 2021,5468851,6499651
March 2021,5946977,7034566
April 2021,6235995,7754419
May 2021,5986633,7555466
June 2021,6005615,7549302
July 2021,5609756,7038445
August 2021,5526494,6954374
September 2021,5404813,6852691
October 2021,5012354,6281555
November 2021,4827345,6252699
December 2021,4925903,6719780
January 2022,4922003,6691761
February 2022,4827391,5827792
March 2022,5190413,6783189
April 2022,4684638,6120751
May 2022,4888233,6172156
June 2022,4735858,5955713
July 2022,4207483,5586137
August 2022,4560463,5586316
September 2022,4176361,5487738
October 2022,4340033,5385242
November 2022,4315153,5578409
December 2022,4192474,5493353
January 2023,4489921,5998955
February 2023,4287641,5417973
March 2023,4083860,5525169
April 2023,4396662,5725332
May 2023,4433354,5790707
June 2023,4433158,5748988
July 2023,4364975,5614499
August 2023,4243590,5617436
September 2023,4111717,5333229
October 2023,4138170,5361514
November 2023,4081731,5310332
December 2023,3943683,5176512
January 2024,4458707,5746993
February 2024,4163369,5403704
March 2024,4376742,5497281
April 2024,4401725,5559507
May 2024,4311150,5473588
